canonical_paper_id,title,year,language,journal_or_source,doi,mapped_pdf_path,mapped_pdf_sha256,pdf_mapping_status,pdf_mapping_confidence,pdf_match_method,has_reader,has_paper_card,read_status,suggested_for_batch_03,notes
KRD0082,,,,,,docs/literature/pdfs/package_2000_2026/1-s2.0-S0303243421000441-main.pdf,a333a6b65821a90dbefa04ed8b40dae20b43478660642af6e1ee4599902f7c89,mapped,1.00,database_pdf_path,no,no,unread_pdf_mapped,no,Canonical PDF mapping; original records and PDFs were not modified.
KRD0083,,,,,,docs/literature/pdfs/package_2000_2026/1-s2.0-S0341816225009993-main.pdf,a47a60d9fe914ec83e9ece28786dea6c02d675d7df861fb736a269ba408f7d0e,mapped,1.00,database_pdf_path,no,no,unread_pdf_mapped,no,Canonical PDF mapping; original records and PDFs were not modified.
KRD0084,,,,,,docs/literature/pdfs/package_2000_2026/1-s2.0-S1470160X24010227-main.pdf,b84fff083ff463eae74a003075d71150b337b77cc4d5a32e6afba988c171fa35,mapped,1.00,database_pdf_path,no,no,unread_pdf_mapped,no,Canonical PDF mapping; original records and PDFs were not modified.
KRD0085,,,,,,docs/literature/pdfs/package_2000_2026/1-s2.0-S2307410825000665-main.pdf,970545d390ead4e957192a1e7359c966fd3206a4c91092bb63410ef6b712c197,mapped,1.00,database_pdf_path,no,no,unread_pdf_mapped,no,Canonical PDF mapping; original records and PDFs were not modified.
KRD0086,,,,,,docs/literature/pdfs/package_2000_2026/CN001_.pdf,5c907d24807218f8e6c12fe8ea6c5022b7b0b7fb37424fcae821260a49d8e4f3,mapped,1.00,database_pdf_path,no,no,unread_pdf_mapped,no,Canonical PDF mapping; original records and PDFs were not modified.
KRD0087,,,,,,docs/literature/pdfs/package_2000_2026/CN002_.pdf,f17e717310eced79afacc872ee18faac3c7fbae779568c5b33b25ef44818b407,mapped,1.00,database_pdf_path,no,no,unread_pdf_mapped,no,Canonical PDF mapping; original records and PDFs were not modified.
KRD0088,,,,,,docs/literature/pdfs/package_2000_2026/CN003_DeepLabV3.pdf; docs/literature/pdfs/package_2021_2026/CN02_DeepLabV3.pdf,8ae9b36df238e7ed46ebc8a71faca0c088ef76d5e9fbd906a7b8b380f6a2e0df,mapped,1.00,database_pdf_path,no,no,unread_pdf_mapped,yes,Canonical PDF mapping; original records and PDFs were not modified.
KRD0089,,,,,,docs/literature/pdfs/package_2000_2026/CN006_GEE.pdf; docs/literature/pdfs/package_2021_2026/CN04_GEE_KRD_spatiotemporal_evolution.pdf,68fa9d39935262aa056e0b4e6f71231e1e477faad5959ea7dbc8ba6797589d71,mapped,1.00,database_pdf_path,no,no,unread_pdf_mapped,yes,Canonical PDF mapping; original records and PDFs were not modified.
KRD0090,,,,,,docs/literature/pdfs/package_2000_2026/EN002_Extraction_of_rocky_desertification_information_in_karst_are.pdf; docs/literature/pdfs/package_2021_2026/EN04_Extraction_of_rocky_desertification_information_in_karst_area_by_using_different_multispec.pdf,ff8ae8e9ea3e571026bcbaef938c2aa45dc05a172ac25f4ac8f9019f1754d7c5,mapped,1.00,database_pdf_path,no,no,unread_pdf_mapped,yes,Canonical PDF mapping; original records and PDFs were not modified.
KRD0091,,,,,,docs/literature/pdfs/package_2000_2026/EN003_Machine_learning_algorithm_for_estimating_karst_rocky_desert.pdf; docs/literature/pdfs/package_2021_2026/EN05_Machine_learning_algorithm_for_estimating_karst_rocky_desertification_in_a_peak-cluster_de.pdf,9bd8b9d5e158b0a65da39d6f5203291343f25f549c63eede806e7704c44cb11f,mapped,1.00,database_pdf_path,yes,yes,full_reader,no,Canonical PDF mapping; original records and PDFs were not modified.
KRD0092,,,,,,docs/literature/pdfs/package_2000_2026/EN004_Comparing_Remote_Sensing_Methods_for_Monitoring_Karst_Rocky_.pdf,e0795a9fdd03ffdaacb66ad91c99b4deca9f7c3310aece75cd66942383b74f47,mapped,1.00,database_pdf_path,yes,yes,full_reader,no,Canonical PDF mapping; original records and PDFs were not modified.
KRD0093,,,,,,docs/literature/pdfs/package_2000_2026/EN005_Analysis_of_Landsat-8_OLI_Imagery_for_Estimating_Exposed_Bed.pdf; docs/literature/pdfs/remote_sensing_only/2018_RemoteSens_10_1321_Analysis_of_Landsat-8_OLI_Imagery_for_Estimating_Exposed_Bed.pdf,c7b343af86ddb10472183d14bddde33e03128d2b8147f5128aa417d1447ca912,mapped,1.00,database_pdf_path,no,no,unread_pdf_mapped,no,Canonical PDF mapping; original records and PDFs were not modified.
KRD0094,,,,,,docs/literature/pdfs/package_2000_2026/EN007_KRD_MESMA_SVM.pdf; docs/literature/pdfs/package_2021_2026/EN06_Monitoring_and_Classification_of_Karst_Rocky_Desertification_with_Landsat.pdf,3713d3038c949dd9627428fe0ff78b3e07511523c5b8ad089ac8c0402c5c2bf7,mapped,1.00,database_pdf_path,yes,yes,full_reader,no,Canonical PDF mapping; original records and PDFs were not modified.
KRD0095,,,,,,docs/literature/pdfs/package_2000_2026/EN009_Classification_of_Karst_Rocky_Desertification_Levels_in_Jins.pdf; docs/literature/pdfs/package_2021_2026/EN08_Classification_of_Karst_Rocky_Desertification_Levels_in_Jinsha_County_Using_a_Feature_Spac.pdf; docs/literature/pdfs/remote_sensing_only/2024_RemoteSens_16_4786_Classification_of_Karst_Rocky_Desertification_Levels_in_Jins.pdf,34e1fd60144a0f3b35f1ff5aab06b56368e55979f6b7aa3815601d37bc8275cc,mapped,1.00,database_pdf_path,yes,yes,full_reader,no,Canonical PDF mapping; original records and PDFs were not modified.
KRD0096,,,,,,docs/literature/pdfs/package_2000_2026/EN010_Extraction_of_Rocky_Desertification_Information_in_the_Karst.pdf; docs/literature/pdfs/remote_sensing_only/2023_RemoteSens_15_3056_Extraction_of_Rocky_Desertification_Information_in_the_Karst.pdf,a21fd900712d96465db9cbdc3815cdbd16a77ed8079d60179def91eb2467f6fc,mapped,1.00,database_pdf_path,no,no,unread_pdf_mapped,yes,Canonical PDF mapping; original records and PDFs were not modified.
KRD0097,,,,,,docs/literature/pdfs/package_2000_2026/EN013_Spatiotemporal_Evolution_and_Driving_Factors_of_Karst_Rocky_.pdf; docs/literature/pdfs/remote_sensing_only/2025_RemoteSens_17_2294_Spatiotemporal_Evolution_and_Driving_Factors_of_Karst_Rocky_.pdf,95336f3356b36f7900528cce40c645513a31d924175e4bb9c3599f6abb826a78,mapped,1.00,database_pdf_path,no,no,unread_pdf_mapped,yes,Canonical PDF mapping; original records and PDFs were not modified.
KRD0098,,,,,,docs/literature/pdfs/package_2000_2026/EN014_Dynamic_evolution_of_rocky_desertification_and_vegetation_re.pdf,944b197bc109c996fa9fc6d4ebb077b8bb0c600c6abbc4159db96395dc089819,mapped,1.00,database_pdf_path,no,no,unread_pdf_mapped,yes,Canonical PDF mapping; original records and PDFs were not modified.
KRD0099,,,,,,docs/literature/pdfs/package_2000_2026/EN015_KRD_GEE.pdf; docs/literature/pdfs/package_2021_2026/EN13_Spatiotemporal_evolution_of_karst_rocky_desertification_and_its_driving_factors_in_southwe.pdf,fd34f04fa4ca4a5f56866cf7a72471402df8842db92eff85f96a47d1476ac7db,mapped,1.00,database_pdf_path,no,no,unread_pdf_mapped,yes,Canonical PDF mapping; original records and PDFs were not modified.
KRD0100,,,,,,docs/literature/pdfs/package_2000_2026/EN016_Classification_of_rocky_desertification_degrees_and_analysis.pdf; docs/literature/pdfs/package_2021_2026/EN15_Classification_of_rocky_desertification_degrees_and_spatiotemporal_distribution_patterns_u.pdf,7061d41f234761352bfd6ab9ba7dc3f090ae45cbebadd35dac167657c5063a71,mapped,1.00,database_pdf_path,no,no,unread_pdf_mapped,no,Canonical PDF mapping; original records and PDFs were not modified.
KRD0101,,,,,,docs/literature/pdfs/package_2000_2026/EN017_KRD_Remote_Sensing_Review.pdf,deb83cdc978bda4b02123bf365bcbdf8c01908f6533141e6091cbbe99b26f4a3,mapped,1.00,database_pdf_path,no,no,unread_pdf_mapped,no,Canonical PDF mapping; original records and PDFs were not modified.
KRD0102,,,,,,docs/literature/pdfs/package_2000_2026/EN018_Spatiotemporal_Evolution_Analysis_and_Future_Scenario_Predic.pdf; docs/literature/pdfs/package_2021_2026/EN03_Spatiotemporal_Evolution_Analysis_and_Future_Scenario_Prediction_of_Rocky_Desertification_.pdf; docs/literature/pdfs/remote_sensing_only/2022_RemoteSens_14_292_Spatiotemporal_Evolution_Analysis_and_Future_Scenario_Predic.pdf,e5bf63dcbc7523203fdcc1c66c08f4feb12f6276a03c4c867c1c96293700164e,mapped,1.00,database_pdf_path,no,no,unread_pdf_mapped,yes,Canonical PDF mapping; original records and PDFs were not modified.
KRD0103,,,,,,docs/literature/pdfs/package_2000_2026/EN019_Information_Extraction_and_Prediction_of_Rocky_Desertificati.pdf,a8c2ac19810950f876037d67d252bf7edd09c4fd5ee9b58a097312332d923001,mapped,1.00,database_pdf_path,no,no,unread_pdf_mapped,no,Canonical PDF mapping; original records and PDFs were not modified.
KRD0104,,,,,,docs/literature/pdfs/package_2000_2026/EN025_KRSEI.pdf,5a11cf68baabf2b5747a550c1347ad371dcc307c95a8573f8aae78a83471f73b,mapped,1.00,database_pdf_path,no,no,unread_pdf_mapped,no,Canonical PDF mapping; original records and PDFs were not modified.
KRD0105,,,,,,docs/literature/pdfs/package_2000_2026/ssrn-4685103.pdf,82c3ce558caa503f59ea7f0f03ef7c0d8d38540a29e09f73cd3025f0dd7c4a7f,mapped,1.00,database_pdf_path,no,no,unread_pdf_mapped,no,Canonical PDF mapping; original records and PDFs were not modified.
KRD0106,,,,,,docs/literature/pdfs/package_2000_2026/西南喀斯特不同生境石漠化程度划分方法研究_唐荣彬.pdf,17879351ce06f23d7db8de9b86c127b5a67ce08f87eedab070cbca299e80aa1b,mapped,1.00,database_pdf_path,no,no,unread_pdf_mapped,yes,Canonical PDF mapping; original records and PDFs were not modified.
KRD0107,,,,,,docs/literature/pdfs/package_2021_2026/1-s2.0-S1574954125002134-main.pdf,ce23c61e734fca3d7f8c7ce9a13b5605b75ddcc3c77f0a75edbd9f7670ed8325,mapped,1.00,database_pdf_path,no,no,unread_pdf_mapped,no,Canonical PDF mapping; original records and PDFs were not modified.
KRD0109,,,,,,docs/literature/pdfs/package_2021_2026/A novel-optimal monitoring index of rocky desertification based on feature space model and red edge indices that derived from sentinel-2 MSI image.pdf,65e4e0d29bbf2747ecdb99a6c46bbd099b31cbdc542a51bddafaaac869e18ca0,mapped,1.00,database_pdf_path,no,no,unread_pdf_mapped,yes,Canonical PDF mapping; original records and PDFs were not modified.
KRD0110,,,,,,docs/literature/pdfs/package_2021_2026/CN03_Vis-NIR.pdf,a11b54e9cfd286c2ed7fdb7b3c28290ea75d1e7ba20d017202a47fdf51334ddb,mapped,1.00,database_pdf_path,no,no,unread_pdf_mapped,no,Canonical PDF mapping; original records and PDFs were not modified.
KRD0111,,,,,,docs/literature/pdfs/package_2021_2026/main.pdf,0083dce0f23e59b48bcba48f0fd49be76d2991991f12328883567c8f6c1d5313,mapped,1.00,database_pdf_path,no,no,unread_pdf_mapped,no,Canonical PDF mapping; original records and PDFs were not modified.
KRD0114,,,,,,docs/literature/pdfs/remote_sensing_only/2021_RemoteSens_13_1614_How_Can_We_Realize_Sustainable_Development_Goals_in_Rocky_De.pdf,db5c5b280a5ee274d4c7c9de9d0da86898b51a2a20ee589b03aa1a50574a9f96,mapped,1.00,database_pdf_path,no,no,unread_pdf_mapped,no,Canonical PDF mapping; original records and PDFs were not modified.
KRD0115,,,,,,docs/literature/pdfs/remote_sensing_only/2022_RemoteSens_14_2351_The_Changes_of_Spatiotemporal_Pattern_of_Rocky_Desertificati.pdf,c6a84590b431044e79c55def366877d316fd321d447a97b960f1ea5e68dcc516,mapped,1.00,database_pdf_path,no,no,unread_pdf_mapped,yes,Canonical PDF mapping; original records and PDFs were not modified.
